id,first_name
1,scalable
2,responsive
3,Organic
4,intermediate
5,help-desk
6,Robust
7,Enhanced
8,info-mediaries
9,Public-key
10,challenge
11,coherent
12,4th generation
13,Secured
14,optimal
15,Phased
16,ability
17,Organic
18,multi-tasking
19,Multi-channelled
20,database
21,strategy
22,analyzer
23,Devolved
24,Persistent
25,function
26,utilisation
27,portal
28,knowledge base
29,Implemented
30,core
31,Phased
32,pricing structure
33,executive
34,even-keeled
35,system engine
36,6th generation
37,info-mediaries
38,Adaptive
39,core
40,global
41,needs-based
42,analyzing
43,service-desk
44,utilisation
45,background
46,uniform
47,Profit-focused
48,monitoring
49,Mandatory
50,hardware
51,national
52,executive
53,disintermediate
54,actuating
55,national
56,encryption
57,analyzer
58,Reverse-engineered
59,Re-engineered
60,encompassing
61,radical
62,frame
63,dedicated
64,pricing structure
65,Polarised
66,flexibility
67,asymmetric
68,systematic
69,process improvement
70,capacity
71,Enhanced
72,superstructure
73,secured line
74,Re-engineered
75,Secured
76,Realigned
77,Innovative
78,Triple-buffered
79,executive
80,archive
81,alliance
82,modular
83,task-force
84,Enterprise-wide
85,Customer-focused
86,Secured
87,tertiary
88,Devolved
89,archive
90,interactive
91,hardware
92,Programmable
93,Visionary
94,reciprocal
95,approach
96,multi-state
97,Compatible
98,static
99,tangible
100,parallelism
101,tangible
102,Realigned
103,high-level
104,well-modulated
105,collaboration
106,Configurable
107,software
108,conglomeration
109,success
110,Innovative
111,functionalities
112,instruction set
113,eco-centric
114,moderator
115,Profound
116,open architecture
117,Persevering
118,Horizontal
119,Team-oriented
120,zero administration
121,Object-based
122,4th generation
123,explicit
124,zero tolerance
125,global
126,budgetary management
127,productivity
128,data-warehouse
129,paradigm
130,Graphical User Interface
131,challenge
132,matrices
133,fault-tolerant
134,Operative
135,heuristic
136,interface
137,Optional
138,frame
139,Virtual
140,dedicated
141,logistical
142,contextually-based
143,systematic
144,scalable
145,Upgradable
146,eco-centric
147,directional
148,needs-based
149,Object-based
150,intranet
151,projection
152,implementation
153,optimal
154,multimedia
155,synergy
156,Multi-tiered
157,bifurcated
158,3rd generation
159,object-oriented
160,Innovative
161,contextually-based
162,real-time
163,value-added
164,monitoring
165,product
166,Robust
167,Fully-configurable
168,toolset
169,intermediate
170,Persistent
171,executive
172,Compatible
173,Innovative
174,De-engineered
175,benchmark
176,Monitored
177,5th generation
178,strategy
179,5th generation
180,approach
181,groupware
182,bottom-line
183,collaboration
184,access
185,human-resource
186,model
187,non-volatile
188,non-volatile
189,Balanced
190,next generation
191,ability
192,asynchronous
193,flexibility
194,Organic
195,optimal
196,Proactive
197,Decentralized
198,multimedia
199,utilisation
200,access
201,demand-driven
202,Triple-buffered
203,help-desk
204,framework
205,stable
206,local
207,Reduced
208,definition
209,collaboration
210,Configurable
211,Re-engineered
212,analyzing
213,Assimilated
214,analyzer
215,Cross-platform
216,non-volatile
217,asymmetric
218,Multi-channelled
219,system-worthy
220,hub
221,alliance
222,bottom-line
223,value-added
224,secured line
225,ability
226,Integrated
227,challenge
228,alliance
229,web-enabled
230,Progressive
231,customer loyalty
232,Inverse
233,secondary
234,transitional
235,coherent
236,non-volatile
237,De-engineered
238,mobile
239,uniform
240,knowledge base
241,toolset
242,bandwidth-monitored
243,needs-based
244,Persistent
245,Optional
246,regional
247,Inverse
248,high-level
249,methodology
250,Polarised
251,Reverse-engineered
252,systemic
253,portal
254,Profound
255,Face to face
256,Horizontal
257,Public-key
258,secondary
259,Multi-layered
260,tertiary
261,Polarised
262,non-volatile
263,background
264,hierarchy
265,architecture
266,Synchronised
267,non-volatile
268,Centralized
269,scalable
270,utilisation
271,contingency
272,actuating
273,Synchronised
274,tangible
275,Function-based
276,transitional
277,stable
278,utilisation
279,Business-focused
280,Operative
281,Graphical User Interface
282,software
283,Pre-emptive
284,Triple-buffered
285,throughput
286,Quality-focused
287,application
288,Synergized
289,hub
290,Switchable
291,Mandatory
292,Compatible
293,utilisation
294,support
295,website
296,info-mediaries
297,framework
298,Profit-focused
299,challenge
300,optimizing
301,Persevering
302,Multi-lateral
303,throughput
304,Ergonomic
305,Expanded
306,Reactive
307,Object-based
308,contingency
309,open architecture
310,human-resource
311,radical
312,asynchronous
313,Exclusive
314,structure
315,exuding
316,intangible
317,forecast
318,impactful
319,Secured
320,Object-based
321,national
322,Enhanced
323,standardization
324,utilisation
325,User-friendly
326,superstructure
327,methodology
328,empowering
329,algorithm
330,Managed
331,modular
332,frame
333,24/7
334,secondary
335,value-added
336,migration
337,maximized
338,hub
339,Virtual
340,workforce
341,dynamic
342,portal
343,pricing structure
344,monitoring
345,Devolved
346,Enterprise-wide
347,Down-sized
348,context-sensitive
349,projection
350,real-time
351,hybrid
352,Graphic Interface
353,Future-proofed
354,Persistent
355,strategy
356,neural-net
357,application
358,forecast
359,Extended
360,heuristic
361,Versatile
362,web-enabled
363,benchmark
364,Pre-emptive
365,ability
366,Ergonomic
367,Ergonomic
368,Right-sized
369,Networked
370,fault-tolerant
371,local area network
372,real-time
373,regional
374,policy
375,flexibility
376,access
377,motivating
378,Re-contextualized
379,responsive
380,paradigm
381,Team-oriented
382,content-based
383,regional
384,Focused
385,Realigned
386,matrices
387,Object-based
388,radical
389,analyzing
390,implementation
391,Implemented
392,strategy
393,knowledge base
394,bandwidth-monitored
395,well-modulated
396,protocol
397,local area network
398,Centralized
399,discrete
400,Robust
401,Visionary
402,tangible
403,mission-critical
404,analyzer
405,model
406,Virtual
407,extranet
408,reciprocal
409,ability
410,customer loyalty
411,global
412,fresh-thinking
413,collaboration
414,optimal
415,internet solution
416,matrix
417,interface
418,hub
419,portal
420,encryption
421,migration
422,user-facing
423,Team-oriented
424,Intuitive
425,middleware
426,exuding
427,policy
428,intermediate
429,zero administration
430,Open-source
431,pricing structure
432,bifurcated
433,contingency
434,bifurcated
435,client-driven
436,mobile
437,alliance
438,Triple-buffered
439,contextually-based
440,Advanced
441,neutral
442,strategy
443,intermediate
444,Customizable
445,bifurcated
446,collaboration
447,composite
448,Team-oriented
449,Cross-platform
450,internet solution
451,knowledge base
452,Progressive
453,Decentralized
454,foreground
455,Stand-alone
456,data-warehouse
457,orchestration
458,Triple-buffered
459,alliance
460,Graphical User Interface
461,ability
462,incremental
463,benchmark
464,adapter
465,24/7
466,next generation
467,product
468,analyzing
469,workforce
470,policy
471,24/7
472,discrete
473,Team-oriented
474,upward-trending
475,analyzer
476,Reactive
477,multimedia
478,Realigned
479,artificial intelligence
480,Profit-focused
481,Multi-lateral
482,Configurable
483,Quality-focused
484,motivating
485,product
486,system-worthy
487,systematic
488,needs-based
489,Profit-focused
490,Optional
491,Total
492,infrastructure
493,conglomeration
494,ability
495,forecast
496,infrastructure
497,disintermediate
498,Open-source
499,Re-contextualized
500,bottom-line
501,throughput
502,mobile
503,transitional
504,core
505,dynamic
506,client-server
507,Object-based
508,implementation
509,alliance
510,Seamless
511,website
512,content-based
513,emulation
514,Self-enabling
515,info-mediaries
516,motivating
517,paradigm
518,Cross-group
519,circuit
520,Realigned
521,structure
522,Grass-roots
523,real-time
524,Profit-focused
525,3rd generation
526,complexity
527,utilisation
528,multimedia
529,empowering
530,Polarised
531,hub
532,analyzing
533,policy
534,Stand-alone
535,Optimized
536,attitude-oriented
537,attitude-oriented
538,empowering
539,time-frame
540,alliance
541,User-friendly
542,structure
543,reciprocal
544,encoding
545,circuit
546,artificial intelligence
547,secondary
548,orchestration
549,emulation
550,impactful
551,Persevering
552,Devolved
553,adapter
554,Multi-lateral
555,intermediate
556,hub
557,stable
558,intranet
559,Mandatory
560,functionalities
561,Fundamental
562,knowledge user
563,encryption
564,middleware
565,Re-engineered
566,core
567,Progressive
568,4th generation
569,internet solution
570,time-frame
571,intermediate
572,bottom-line
573,open system
574,emulation
575,benchmark
576,Triple-buffered
577,Intuitive
578,client-server
579,Versatile
580,empowering
581,well-modulated
582,Enhanced
583,next generation
584,system-worthy
585,Grass-roots
586,empowering
587,access
588,bandwidth-monitored
589,cohesive
590,upward-trending
591,client-server
592,application
593,help-desk
594,Face to face
595,structure
596,Streamlined
597,Graphic Interface
598,algorithm
599,Ameliorated
600,Virtual
601,system engine
602,Balanced
603,Re-contextualized
604,Object-based
605,Synergistic
606,User-centric
607,Focused
608,Diverse
609,open system
610,Digitized
611,workforce
612,intranet
613,human-resource
614,transitional
615,conglomeration
616,support
617,Re-engineered
618,6th generation
619,neural-net
620,methodical
621,regional
622,clear-thinking
623,modular
624,didactic
625,help-desk
626,moratorium
627,encompassing
628,Seamless
629,Profound
630,local
631,explicit
632,Focused
633,local area network
634,parallelism
635,Automated
636,Extended
637,Secured
638,Diverse
639,neural-net
640,modular
641,project
642,capability
643,3rd generation
644,leverage
645,Total
646,Enterprise-wide
647,Fundamental
648,parallelism
649,knowledge user
650,Devolved
651,archive
652,Cross-group
653,complexity
654,algorithm
655,Multi-lateral
656,eco-centric
657,Triple-buffered
658,Balanced
659,eco-centric
660,national
661,responsive
662,Cross-platform
663,motivating
664,Vision-oriented
665,uniform
666,zero administration
667,model
668,Distributed
669,middleware
670,object-oriented
671,Customizable
672,Intuitive
673,dedicated
674,3rd generation
675,Extended
676,Open-architected
677,paradigm
678,Balanced
679,paradigm
680,modular
681,multi-tasking
682,dynamic
683,client-server
684,Persevering
685,Versatile
686,Secured
687,4th generation
688,Profound
689,Decentralized
690,De-engineered
691,protocol
692,Sharable
693,responsive
694,Stand-alone
695,uniform
696,discrete
697,Advanced
698,definition
699,Ameliorated
700,needs-based
701,fault-tolerant
702,intranet
703,Distributed
704,ability
705,adapter
706,knowledge user
707,neural-net
708,Ameliorated
709,Realigned
710,optimal
711,Front-line
712,portal
713,data-warehouse
714,Fully-configurable
715,open architecture
716,Implemented
717,access
718,modular
719,architecture
720,strategy
721,heuristic
722,incremental
723,stable
724,neural-net
725,radical
726,6th generation
727,capacity
728,stable
729,Operative
730,5th generation
731,explicit
732,alliance
733,Synchronised
734,Phased
735,Centralized
736,monitoring
737,bottom-line
738,portal
739,budgetary management
740,Down-sized
741,fresh-thinking
742,Universal
743,multi-tasking
744,system engine
745,non-volatile
746,core
747,Total
748,Total
749,optimal
750,customer loyalty
751,Operative
752,capability
753,leverage
754,zero administration
755,local
756,Assimilated
757,Extended
758,Synergistic
759,systematic
760,Triple-buffered
761,fresh-thinking
762,migration
763,Synergistic
764,Optimized
765,Right-sized
766,responsive
767,matrix
768,local area network
769,Seamless
770,website
771,hierarchy
772,Multi-layered
773,Optional
774,encoding
775,Versatile
776,Fundamental
777,discrete
778,mobile
779,Open-architected
780,protocol
781,Profit-focused
782,Team-oriented
783,Re-contextualized
784,bandwidth-monitored
785,Decentralized
786,Multi-lateral
787,methodology
788,parallelism
789,upward-trending
790,groupware
791,strategy
792,contingency
793,throughput
794,paradigm
795,approach
796,hardware
797,migration
798,interface
799,function
800,content-based
801,Centralized
802,Advanced
803,functionalities
804,Down-sized
805,moratorium
806,open system
807,portal
808,analyzing
809,Exclusive
810,algorithm
811,tangible
812,tertiary
813,interactive
814,contextually-based
815,disintermediate
816,Stand-alone
817,needs-based
818,high-level
819,projection
820,Switchable
821,hardware
822,interface
823,Synergized
824,throughput
825,tangible
826,knowledge base
827,support
828,exuding
829,Integrated
830,uniform
831,toolset
832,flexibility
833,Customizable
834,Fully-configurable
835,archive
836,Public-key
837,Horizontal
838,Focused
839,executive
840,frame
841,Team-oriented
842,background
843,Synchronised
844,application
845,bandwidth-monitored
846,approach
847,Triple-buffered
848,Streamlined
849,Versatile
850,focus group
851,Seamless
852,client-driven
853,focus group
854,Customizable
855,service-desk
856,zero defect
857,Visionary
858,policy
859,User-centric
860,actuating
861,projection
862,bifurcated
863,background
864,systematic
865,reciprocal
866,Vision-oriented
867,Profound
868,hybrid
869,frame
870,monitoring
871,encompassing
872,access
873,help-desk
874,fresh-thinking
875,matrices
876,reciprocal
877,systemic
878,Adaptive
879,attitude
880,service-desk
881,mission-critical
882,Organized
883,static
884,Multi-lateral
885,groupware
886,framework
887,multi-state
888,intranet
889,knowledge user
890,migration
891,Fully-configurable
892,synergy
893,moderator
894,leverage
895,zero administration
896,Compatible
897,Optional
898,Customer-focused
899,Focused
900,collaboration
901,Profound
902,Organic
903,interactive
904,extranet
905,6th generation
906,Expanded
907,scalable
908,portal
909,eco-centric
910,analyzer
911,intangible
912,Face to face
913,Ameliorated
914,application
915,circuit
916,portal
917,leverage
918,open system
919,Multi-channelled
920,Operative
921,Reduced
922,application
923,analyzer
924,frame
925,matrices
926,actuating
927,Enterprise-wide
928,task-force
929,Secured
930,national
931,data-warehouse
932,utilisation
933,initiative
934,attitude-oriented
935,capacity
936,intangible
937,web-enabled
938,Proactive
939,radical
940,task-force
941,frame
942,Managed
943,zero administration
944,real-time
945,discrete
946,homogeneous
947,knowledge base
948,time-frame
949,utilisation
950,frame
951,Digitized
952,24/7
953,Seamless
954,hybrid
955,Cloned
956,Decentralized
957,groupware
958,Enhanced
959,matrices
960,Virtual
961,Organized
962,Advanced
963,Fully-configurable
