id,topic
1,portal
2,Profound
3,3rd generation
4,Cloned
5,core
6,interface
7,incremental
8,interactive
9,Inverse
10,superstructure
11,Stand-alone
12,analyzer
13,global
14,portal
15,interactive
16,5th generation
17,dynamic
18,success
19,Synergized
20,alliance
21,Visionary
22,service-desk
23,array
24,zero defect
25,groupware
26,Integrated
27,Synergistic
28,support
29,archive
30,Right-sized
31,pricing structure
32,Adaptive
33,Configurable
34,optimizing
35,Graphical User Interface
36,Universal
37,Open-source
38,Seamless
39,system-worthy
40,needs-based
41,application
42,bifurcated
43,5th generation
44,system engine
45,frame
46,fault-tolerant
47,local area network
48,array
49,Exclusive
50,synergy
51,Profit-focused
52,Triple-buffered
53,Graphic Interface
54,task-force
55,client-driven
56,Decentralized
57,bandwidth-monitored
58,Reactive
59,Cross-platform
60,leading edge
61,leverage
62,Reduced
63,Profound
64,incremental
65,6th generation
66,process improvement
67,Secured
68,Fundamental
69,Assimilated
70,transitional
71,cohesive
72,maximized
73,Devolved
74,motivating
75,Switchable
76,Distributed
77,installation
78,structure
79,Triple-buffered
80,Centralized
81,content-based
82,Down-sized
83,optimal
84,interface
85,grid-enabled
86,intangible
87,discrete
88,forecast
89,disintermediate
90,Optimized
91,zero tolerance
92,emulation
93,workforce
94,impactful
95,hybrid
96,Ergonomic
97,Organic
98,array
99,Operative
100,software
101,Horizontal
102,moderator
103,empowering
104,Multi-tiered
105,Decentralized
106,systemic
107,Proactive
108,Adaptive
109,mobile
110,demand-driven
111,productivity
112,Quality-focused
113,methodology
114,task-force
115,national
116,core
117,hierarchy
118,Persistent
119,product
120,ability
121,Integrated
122,encryption
123,customer loyalty
124,help-desk
125,optimizing
126,Visionary
127,homogeneous
128,attitude
129,Optimized
130,Stand-alone
131,policy
132,projection
133,implementation
134,Robust
135,Virtual
136,heuristic
137,emulation
138,Multi-lateral
139,Phased
140,Focused
141,circuit
142,Quality-focused
143,Profound
144,toolset
145,Open-architected
146,hybrid
147,open architecture
148,next generation
149,functionalities
150,installation
151,Synchronised
152,algorithm
153,Re-engineered
154,Pre-emptive
155,Reduced
156,eco-centric
157,success
158,empowering
159,national
160,Profound
161,heuristic
162,scalable
163,human-resource
164,time-frame
165,Implemented
166,Inverse
167,task-force
168,explicit
169,radical
170,De-engineered
171,encryption
172,solution
173,Right-sized
174,portal
175,utilisation
176,composite
177,Virtual
178,structure
179,logistical
180,leverage
181,Managed
182,budgetary management
183,Monitored
184,methodical
185,foreground
186,bottom-line
187,system engine
188,User-friendly
189,parallelism
190,user-facing
191,analyzer
192,Intuitive
193,Programmable
194,leverage
195,Re-contextualized
196,moratorium
197,background
198,Enhanced
199,zero defect
200,throughput
201,Configurable
202,Synchronised
203,multi-state
204,Public-key
205,firmware
206,methodology
207,installation
208,success
209,responsive
210,initiative
211,Diverse
212,Re-contextualized
213,secured line
214,grid-enabled
215,executive
216,database
217,static
218,Expanded
219,User-friendly
220,Profound
221,knowledge user
222,knowledge user
223,Grass-roots
224,Progressive
225,content-based
226,neutral
227,artificial intelligence
228,object-oriented
229,Distributed
230,asynchronous
231,content-based
232,client-driven
233,high-level
